trip_id,route_id,service_id,trip_headsign,block_id,shape_id
538,25,1,Outbound,4011,160
320,8,1,Inbound,2591,109
98,2,1,Inbound,2551,37
244,7,1,Outbound,2561,58
87,2,1,Inbound,1211,38
62,2,1,Outbound,1211,43
339,9,1,Inbound,1171,1
188,5,1,Inbound,1322,4
16,1,1,Outbound,1352,45
1996,54,1,Inbound,1201,49
1987,56,1,Inbound,1331,174
855,1,2,Outbound,7431,45
282,8,1,Outbound,1522,24
1803,48,1,Outbound,1221,6
521,24,1,Inbound,2631,29
846,18,2,Outbound,8601,47
206,6,1,Outbound,2561,117
929,1,1,Inbound,1511,40
632,2,2,Outbound,7381,43
112,4,1,Outbound,1301,36
89,2,1,Inbound,1231,38
220,6,1,Inbound,1131,85
715,14,2,Inbound,6011,8
34,1,1,Inbound,1352,40
326,9,1,Outbound,1221,44
565,26,1,Inbound,1431,156
844,9,2,Outbound,7251,44
703,14,2,Outbound,6011,0
885,32,1,Inbound,1382,113
442,14,1,Inbound,2662,8
287,8,1,Outbound,2551,15
73,2,1,Outbound,2651,118
134,4,1,Inbound,3031,51
894,23,1,Outbound,1221,153
53,1,1,Inbound,2641,40
760,8,2,Inbound,7211,109
100,2,1,Inbound,1281,37
412,13,1,Inbound,1301,97
646,4,2,Outbound,6041,36
891,23,1,Outbound,1481,152
842,9,2,Outbound,7271,44
151,4,1,Inbound,1452,51
616,32,1,Inbound,1291,64
269,8,1,Outbound,1051,24
685,6,2,Outbound,7531,74
406,13,1,Outbound,4191,79
577,55,1,Outbound,1231,135
859,1,2,Outbound,7501,45
50,1,1,Inbound,2611,40
694,4,2,Inbound,7501,51
820,19,2,Outbound,6061,86
848,18,2,Outbound,8601,47
65,2,1,Outbound,1021,118
1886,11,1,Outbound,2601,69
114,4,1,Outbound,1061,36
290,8,1,Outbound,2672,15
139,4,1,Inbound,1241,51
33,1,1,Inbound,1031,40
367,11,1,Outbound,2651,69
652,4,2,Outbound,7501,36
419,13,1,Inbound,1502,97
684,6,2,Outbound,7291,74
759,8,2,Inbound,7221,109
506,24,1,Outbound,1521,143
264,8,1,Outbound,1541,159
923,45,1,Outbound,1381,128
127,4,1,Outbound,2641,36
754,8,2,Inbound,7211,109
225,6,1,Inbound,1291,85
995,5,1,Outbound,1071,107
654,4,2,Outbound,7541,36
304,8,1,Inbound,1071,13
1777,26,1,Inbound,1312,156
346,9,1,Inbound,1091,1
81,2,1,Inbound,1111,88
322,8,1,Inbound,2631,109
289,8,1,Outbound,2621,15
76,2,1,Outbound,2651,118
157,4,1,Inbound,1442,51
805,55,2,Inbound,7221,3
71,2,1,Outbound,1281,43
425,14,1,Outbound,1041,0
1807,48,1,Outbound,1081,6
727,6,2,Inbound,7231,142
767,8,2,Inbound,7441,109
1788,48,1,Inbound,3011,9
122,4,1,Outbound,1332,36
1994,54,1,Inbound,3051,49
422,13,1,Inbound,4051,11
1988,56,1,Inbound,4141,50
155,4,1,Inbound,1261,51
1786,48,1,Inbound,1101,9
483,19,1,Inbound,1241,82
25,1,1,Outbound,1291,45
300,8,1,Inbound,1381,171
334,9,1,Outbound,1492,44
236,7,1,Outbound,1341,58
219,6,1,Inbound,1031,85
912,27,1,Outbound,1312,170
568,26,1,Inbound,1071,26
810,55,2,Inbound,8291,3
547,25,1,Inbound,1091,122
1978,11,1,Inbound,2601,68
350,9,1,Inbound,1271,1
1758,5,1,Outbound,2581,62
191,5,1,Inbound,1472,22
905,23,1,Inbound,1141,41
674,4,2,Inbound,7511,51
575,27,1,Inbound,1061,136
175,5,1,Outbound,2571,91
405,13,1,Outbound,2551,80
874,1,2,Inbound,7421,40
221,6,1,Inbound,1241,85
543,25,1,Inbound,1401,121
490,20,1,Outbound,1281,77
338,9,1,Outbound,2581,44
739,8,2,Outbound,7421,7
824,32,2,Inbound,7251,64
249,7,1,Inbound,1341,96
546,25,1,Inbound,1101,122
298,8,1,Inbound,1221,13
644,2,2,Outbound,7501,43
1990,54,1,Outbound,1201,48
896,23,1,Outbound,4151,154
372,11,1,Outbound,4221,69
185,5,1,Inbound,1061,4
223,6,1,Inbound,1241,120
854,1,2,Outbound,7421,45
518,24,1,Inbound,1041,98
117,4,1,Outbound,1111,36
776,13,2,Outbound,7401,81
462,18,1,Outbound,2561,47
342,9,1,Inbound,1381,1
63,2,1,Outbound,1031,43
460,18,1,Outbound,1271,47
85,2,1,Inbound,1191,38
691,6,2,Outbound,8611,74
795,5,2,Outbound,7511,89
311,8,1,Inbound,1402,132
656,2,2,Inbound,6021,37
1993,54,1,Outbound,4071,48
30,1,1,Inbound,3091,40
362,11,1,Outbound,1511,69
743,8,2,Outbound,7441,7
443,14,1,Inbound,2581,8
24,1,1,Outbound,2631,45
818,19,2,Outbound,7401,2
440,14,1,Inbound,1542,8
802,5,2,Outbound,6051,89
1761,11,1,Outbound,2621,69
601,55,1,Inbound,1191,92
716,14,2,Inbound,8271,8
104,2,1,Inbound,1291,38
165,5,1,Outbound,1211,107
22,1,1,Outbound,4111,45
826,32,2,Inbound,7481,64
813,5,2,Inbound,6011,4
641,2,2,Outbound,8551,43
520,24,1,Inbound,1331,29
786,13,2,Inbound,8381,125
363,11,1,Outbound,1541,69
381,11,1,Inbound,2651,68
138,4,1,Inbound,1301,51
594,29,1,Inbound,1031,18
251,7,1,Inbound,1221,96
1980,45,1,Inbound,2551,129
916,29,1,Inbound,4031,168
1983,8,2,Inbound,8601,109
82,2,1,Inbound,1181,88
38,1,1,Inbound,1161,40
186,5,1,Inbound,1211,4
793,5,2,Outbound,7221,89
90,2,1,Inbound,1211,37
1887,11,1,Inbound,4221,68
327,9,1,Outbound,1381,44
96,2,1,Inbound,1071,37
942,53,2,Outbound,7171,72
815,5,2,Inbound,7221,4
857,1,2,Outbound,7441,45
99,2,1,Inbound,2641,37
146,4,1,Inbound,1081,51
938,53,1,Inbound,1321,70
234,7,1,Outbound,3041,59
154,4,1,Inbound,2581,51
883,1,2,Inbound,7441,40
230,6,1,Inbound,2651,61
505,24,1,Outbound,1391,145
858,1,2,Outbound,7421,45
895,23,1,Outbound,1432,154
132,4,1,Outbound,4141,36
70,2,1,Outbound,2551,43
415,13,1,Inbound,1271,97
852,18,2,Inbound,8601,46
783,13,2,Inbound,7501,125
797,5,2,Outbound,7441,89
635,2,2,Outbound,7211,43
1804,48,1,Inbound,1221,9
163,5,1,Outbound,1531,150
880,1,2,Inbound,8551,40
423,14,1,Outbound,1031,0
671,4,2,Inbound,6031,51
540,25,1,Inbound,1131,121
274,8,1,Outbound,1402,24
203,6,1,Outbound,1241,19
189,5,1,Inbound,1261,4
494,20,1,Inbound,1061,75
801,5,2,Outbound,6011,89
688,6,2,Outbound,7231,74
847,18,2,Outbound,8611,47
904,23,1,Inbound,1131,42
254,7,1,Inbound,1061,96
324,9,1,Outbound,1171,115
562,26,1,Outbound,1452,116
811,5,2,Inbound,7511,4
383,11,1,Inbound,1412,68
23,1,1,Outbound,1362,45
380,11,1,Inbound,1151,68
124,4,1,Outbound,1362,36
46,1,1,Inbound,2661,40
263,8,1,Outbound,3031,157
724,6,2,Inbound,7291,142
612,32,1,Inbound,1101,64
1764,11,1,Inbound,2621,68
218,6,1,Inbound,1111,120
382,11,1,Inbound,1372,68
260,7,1,Inbound,4051,96
558,26,1,Outbound,1281,52
238,7,1,Outbound,1221,58
479,19,1,Outbound,1271,183
116,4,1,Outbound,1021,36
9,1,1,Outbound,1011,45
987,16,1,Outbound,1341,164
247,7,1,Outbound,1261,58
500,21,1,Outbound,1482,130
306,8,1,Inbound,1081,109
305,8,1,Inbound,1171,172
430,14,1,Outbound,1542,0
313,8,1,Inbound,1502,109
228,6,1,Inbound,2591,85
909,23,1,Inbound,1382,42
719,14,2,Inbound,8601,8
250,7,1,Inbound,1051,96
242,7,1,Outbound,1111,58
272,8,1,Outbound,1291,24
526,25,1,Outbound,3101,27
563,26,1,Inbound,1321,156
878,1,2,Inbound,7151,40
